count,actual,predicted
4,pending_transfer,transfer_timing
4,card_payment_not_recognised,compromised_card
4,card_delivery_estimate,card_arrival
3,pending_transfer,transfer_not_received_by_recipient
3,get_disposable_virtual_card,getting_virtual_card
3,fiat_currency_support,exchange_via_app
3,declined_transfer,declined_card_payment
3,card_payment_not_recognised,direct_debit_payment_not_recognised
3,card_arrival,card_delivery_estimate
3,balance_not_updated_after_bank_transfer,transfer_timing
2,wrong_amount_of_cash_received,declined_cash_withdrawal
2,why_verify_identity,verify_my_identity
2,visa_or_mastercard,supported_cards_and_currencies
2,virtual_card_not_working,disposable_card_limits
2,virtual_card_not_working,card_not_working
2,verify_my_identity,why_verify_identity
2,transfer_timing,balance_not_updated_after_bank_transfer
2,transfer_not_received_by_recipient,transfer_timing
2,transfer_not_received_by_recipient,failed_transfer
2,transfer_into_account,topping_up_by_card
2,transfer_fee_charged,top_up_by_bank_transfer_charge
2,topping_up_by_card,pending_top_up
2,top_up_reverted,top_up_failed
2,top_up_by_card_charge,supported_cards_and_currencies
2,receiving_money,exchange_via_app
2,pin_blocked,change_pin
2,exchange_via_app,fiat_currency_support
2,exchange_charge,exchange_rate
2,disposable_card_limits,get_disposable_virtual_card
2,direct_debit_payment_not_recognised,extra_charge_on_statement
2,direct_debit_payment_not_recognised,cash_withdrawal_not_recognised
2,declined_transfer,transfer_not_received_by_recipient
2,declined_transfer,failed_transfer
2,declined_card_payment,reverted_card_payment?
2,contactless_not_working,order_physical_card
2,compromised_card,cash_withdrawal_not_recognised
2,compromised_card,card_not_working
2,card_swallowed,cash_withdrawal_not_recognised
2,card_acceptance,supported_cards_and_currencies
2,beneficiary_not_allowed,transfer_into_account
2,beneficiary_not_allowed,failed_transfer
2,balance_not_updated_after_bank_transfer,pending_transfer
2,Refund_not_showing_up,reverted_card_payment?
2,Refund_not_showing_up,request_refund
1,wrong_exchange_rate_for_cash_withdrawal,wrong_amount_of_cash_received
1,wrong_exchange_rate_for_cash_withdrawal,exchange_charge
1,wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate
1,wrong_amount_of_cash_received,cash_withdrawal_not_recognised
1,wrong_amount_of_cash_received,cash_withdrawal_charge
1,why_verify_identity,unable_to_verify_identity
1,visa_or_mastercard,getting_spare_card
1,virtual_card_not_working,declined_card_payment
1,verify_my_identity,unable_to_verify_identity
1,unable_to_verify_identity,verify_my_identity
1,transfer_not_received_by_recipient,transfer_fee_charged
